image_link,group_id,entity_name,entity_value,image_name
https://m.media-amazon.com/images/I/61Am7goxaFL.jpg,178778,depth,3.9 centimetre,6617892b-9ef8-40dc-a834-4623584e4c44.jpg
https://m.media-amazon.com/images/I/51R8AlSuVKL.jpg,347320,depth,100.0 inch,0088cdf4-5092-4780-81be-dc41cdb4e9c4.jpg
https://m.media-amazon.com/images/I/51KghPIV6JL.jpg,826444,depth,90.0 millimetre,858aaef5-ad30-420a-966b-2ae49c5b8e87.jpg
https://m.media-amazon.com/images/I/51gqMA7+K0L.jpg,494658,depth,53.0 centimetre,4586f615-0158-4cdd-8201-f61965bd71dd.jpg
https://m.media-amazon.com/images/I/51YDWb+0+mL.jpg,861555,depth,217.0 millimetre,334836d1-92b8-4110-8713-fbbf56907fad.jpg
https://m.media-amazon.com/images/I/51544S1oCiL.jpg,667819,depth,16.0 inch,6c787435-010d-40d7-ad22-c81bf27ff7bc.jpg
https://m.media-amazon.com/images/I/51brSZcFF7L.jpg,675317,depth,1.18 inch,a5707843-0467-476b-afa9-1897b2710be3.jpg
https://m.media-amazon.com/images/I/513bbFLNI+L.jpg,943839,depth,65.0 millimetre,0bf02e9a-548c-4482-9af5-eade186c0ea6.jpg
https://m.media-amazon.com/images/I/51p84vAQK8L.jpg,108478,depth,25.0 centimetre,8bb533b8-85fd-4ca1-bc41-44651a68052e.jpg
https://m.media-amazon.com/images/I/51bpjtgntZL.jpg,881883,depth,200.0 centimetre,d2ab54c6-38ea-4df5-b6a1-22e937852452.jpg
https://m.media-amazon.com/images/I/610FJ8HRCnL.jpg,549052,depth,25.5 centimetre,136213d5-7c48-44d5-a0ee-c1c88c963d71.jpg
https://m.media-amazon.com/images/I/41KfWMKeN-L.jpg,281210,depth,26.5 centimetre,ffa5b14d-a3ad-49e4-b547-7e309b412db6.jpg
https://m.media-amazon.com/images/I/615oTjEYB0L.jpg,755711,depth,30.0 millimetre,4ca12cc4-075d-43a3-8ee8-53a3d36487d4.jpg
https://m.media-amazon.com/images/I/61F6wD4fPFL.jpg,630869,depth,21.0 centimetre,3a1cc47a-83f2-440d-bc9b-2c3c133e4c65.jpg
https://m.media-amazon.com/images/I/513RMllK3sS.jpg,675317,depth,1.4 inch,107a2753-41ef-4197-b04a-8038bbaf900b.jpg
https://m.media-amazon.com/images/I/51mDgaBW3AL.jpg,630869,depth,26.0 centimetre,43efd9fc-c5fb-4dbf-b3f3-22b5bbf6bea5.jpg
https://m.media-amazon.com/images/I/51SL+qaaFoL.jpg,784538,depth,19.0 inch,57cca976-c597-47fd-b277-40d6020d7c48.jpg
https://m.media-amazon.com/images/I/51-FPHxRNVL.jpg,932012,depth,165.0 centimetre,d62ed541-c454-4c7f-8278-7b4e58f1e5cf.jpg
https://m.media-amazon.com/images/I/61ARfalan2L.jpg,507619,depth,44.0 centimetre,49ea9782-02b1-4976-b43f-666560b768f6.jpg
https://m.media-amazon.com/images/I/51mxkZNEE1L.jpg,752266,depth,40.5 centimetre,90422859-f628-4101-aa48-22cc231fbb12.jpg
https://m.media-amazon.com/images/I/617E6iSY7TL.jpg,558806,height,5.3 inch,15626355-106a-4873-8cf6-f9f94343c982.jpg
https://m.media-amazon.com/images/I/615RXHRiCeL.jpg,480845,height,10.16 centimetre,5cba67fc-cd29-4671-86f3-4d121c2395c5.jpg
https://m.media-amazon.com/images/I/618e4JBlySL.jpg,417434,height,55.0 centimetre,fe44612b-9c99-4cf3-b295-21812c13651e.jpg
https://m.media-amazon.com/images/I/512togrPRWS.jpg,752266,height,22.0 millimetre,ee2dbf55-12b8-427b-b546-e592514eab82.jpg
https://m.media-amazon.com/images/I/51BEuD9O1xL.jpg,442321,height,28.3 inch,5752f18f-5d09-45de-839c-d8d70f02d607.jpg
https://m.media-amazon.com/images/I/41YL4Zd434L.jpg,801829,height,42.0 inch,1a41dfc2-63dc-4af8-945e-1b3f65bac808.jpg
https://m.media-amazon.com/images/I/41RoQb62F4L.jpg,823083,height,30.0 centimetre,082efebf-c1aa-4521-9535-5750a8b5280d.jpg
https://m.media-amazon.com/images/I/51huRiwWonL.jpg,318766,height,30.7 inch,f5e1356a-6bf9-4a81-ab6d-88fc2b71f4aa.jpg
https://m.media-amazon.com/images/I/51Og-Te5QRL.jpg,970563,height,21.0 millimetre,a41b0c2a-796e-418a-8136-d49e810dc8b5.jpg
https://m.media-amazon.com/images/I/61+NIZOm-gL.jpg,276611,height,60.0 centimetre,545787b5-f3ae-418b-ba94-246a750dfba2.jpg
https://m.media-amazon.com/images/I/51BptQ-n2RL.jpg,849273,height,31.0 centimetre,d116141d-a0fd-4a85-8cee-35d48c2d9ffe.jpg
https://m.media-amazon.com/images/I/4137LUd3skL.jpg,997176,height,27.5 centimetre,e1f07653-6234-43b9-b2b8-c296ccf5ef1c.jpg
https://m.media-amazon.com/images/I/51FQoxpAi9L.jpg,849273,height,43.0 centimetre,627e17f0-aba4-4105-b3b7-b043cdea8259.jpg
